tick,em_at_tick_start,em_after_update,eff_input,event
276,0.113494,0.096470,0.0000,INTERACT
277,0.096470,0.096470,-,idle
278,0.096470,0.081999,0.0000,INTERACT
279,0.081999,0.081999,-,idle
280,0.081999,0.069699,0.0000,INTERACT
281,0.069699,0.069699,-,idle
282,0.069699,0.059245,0.0000,INTERACT
283,0.059245,0.059245,-,idle
284,0.059245,0.050358,0.0000,INTERACT
285,0.050358,0.192804,1.0000,INTERACT
286,0.192804,0.163884,0.0000,INTERACT
287,0.163884,0.163884,-,idle
288,0.163884,0.139301,0.0000,INTERACT
289,0.139301,0.139301,-,idle
290,0.139301,0.118406,0.0000,INTERACT
291,0.118406,0.118406,-,idle
292,0.118406,0.100645,0.0000,INTERACT
293,0.100645,0.100645,-,idle
294,0.100645,0.085548,0.0000,INTERACT
295,0.085548,0.085548,-,idle
296,0.085548,0.072716,0.0000,INTERACT
297,0.072716,0.072716,-,idle
298,0.072716,0.061809,0.0000,INTERACT
299,0.061809,0.061809,-,idle
300,0.061809,0.202537,1.0000,INTERACT
301,0.202537,0.172157,0.0000,INTERACT
302,0.172157,0.172157,-,idle
303,0.172157,0.146333,0.0000,INTERACT
304,0.146333,0.146333,-,idle
305,0.146333,0.146333,-,idle
306,0.146333,0.124383,0.0000,INTERACT
307,0.124383,0.124383,-,idle
308,0.124383,0.105726,0.0000,INTERACT
309,0.105726,0.105726,-,idle
310,0.105726,0.089867,0.0000,INTERACT
311,0.089867,0.089867,-,idle
312,0.089867,0.076387,0.0000,INTERACT
313,0.076387,0.076387,-,idle
314,0.076387,0.064929,0.0000,INTERACT
315,0.064929,0.205189,1.0000,INTERACT
316,0.205189,0.174411,0.0000,INTERACT
317,0.174411,0.174411,-,idle
318,0.174411,0.148249,0.0000,INTERACT
319,0.148249,0.148249,-,idle
320,0.148249,0.126012,0.0000,INTERACT
321,0.126012,0.126012,-,idle
322,0.126012,0.107110,0.0000,INTERACT
323,0.107110,0.107110,-,idle
324,0.107110,0.091044,0.0000,INTERACT
325,0.091044,0.091044,-,idle
326,0.091044,0.077387,0.0000,INTERACT
327,0.077387,0.077387,-,idle
328,0.077387,0.065779,0.0000,INTERACT
329,0.065779,0.065779,-,idle
330,0.065779,0.205912,1.0000,INTERACT
331,0.205912,0.175025,0.0000,INTERACT
332,0.175025,0.175025,-,idle
333,0.175025,0.148772,0.0000,INTERACT
334,0.148772,0.148772,-,idle
335,0.148772,0.126456,0.0000,INTERACT
336,0.126456,0.126456,-,idle
337,0.126456,0.107487,0.0000,INTERACT
338,0.107487,0.107487,-,idle
339,0.107487,0.091364,0.0000,INTERACT
340,0.091364,0.091364,-,idle
341,0.091364,0.077660,0.0000,INTERACT
